"","tag_code_2","natal_origin"
"711","3D9.1C2D4C9852",10
"712","3D9.1C2D60A732",10
"713","3D9.1C2D60AC45",10
"714","3D9.1C2D60AD28",10
"715","3D9.1C2D60AE95",10
"716","3D9.1C2D60B4DF",10
"717","3D9.1C2D60B53D",10
"718","3D9.1C2D60BC62",10
"719","3D9.1C2D60C706",10
"720","3D9.1C2D60CC68",10
"721","3D9.1C2D60CDC2",10
"722","3D9.1C2D60CE3F",10
"723","3D9.1C2D60D680",10
"724","3D9.1C2D61344F",10
"725","3D9.1C2D613EA3",10
"726","3D9.1C2D613EB2",10
"727","3D9.1C2D615396",10
"728","3D9.1C2D616543",10
"729","3D9.1C2D61CF96",10
"730","3D9.1C2D61D18F",10
"731","3D9.1C2D61D61D",10
"732","3D9.1C2D61D67F",10
"733","3D9.1C2D61D8E5",10
"734","3D9.1C2D61E027",10
"735","3D9.1C2D61E05C",10
"736","3D9.1C2D61E10E",10
"737","3D9.1C2D61EC73",10
"738","3D9.1C2D61F18C",10
"739","3D9.1C2D61F6E9",10
"740","3D9.1C2D620313",10
"741","3D9.1C2D620346",10
"742","3D9.1C2D6209D1",10
"743","3D9.1C2D620CCD",10
"744","3D9.1C2D625F7C",10
"745","3D9.1C2D62803C",10
"746","3D9.1C2D628E96",10
"747","3D9.1C2D6308F5",10
"748","3D9.1C2D63193D",10
"749","3D9.1C2D63320C",10
"750","3D9.1C2D6D8C43",10
"751","3D9.1C2D6F6ADA",4
"752","3D9.1C2D6FDC92",4
"753","3D9.1C2D6FF6A1",4
"754","3D9.1C2D6FF6D8",4
"755","3D9.1C2D6FFE83",4
"756","3D9.1C2D6FFE88",4
"757","3D9.1C2D700F69",4
"758","3D9.1C2D70495F",4
"759","3D9.1C2D76E336",4
"760","3D9.1C2D7705D1",4
"761","3D9.1C2D77064B",10
"762","3D9.1C2D770AF6",4
"763","3D9.1C2D770E92",4
"764","3D9.1C2D77239A",10
"765","3D9.1C2D774C1E",4
"766","3D9.1C2D778E8A",4
"767","3D9.1C2D7B0177",10
"768","3D9.1C2D7D4788",4
"769","3D9.1C2D7D8637",4
